Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo)
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.1,18.7,181,3750,MALE,
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.5,17.4,186,3800,FEMALE,8.94956
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.3,18,195,3250,FEMALE,8.36821
Adelie Penguin (Pygoscelis adeliae),Torgersen,,,,,,
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.7,19.3,193,3450,FEMALE,8.76651
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.3,20.6,190,3650,MALE,8.66496
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.9,17.8,181,3625,FEMALE,9.18718
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.2,19.6,195,4675,MALE,9.4606
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.1,18.1,193,3475,,
Adelie Penguin (Pygoscelis adeliae),Torgersen,42,20.2,190,4250,,9.13362
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.8,17.1,186,3300,,8.63243
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.8,17.3,180,3700,,
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.1,17.6,182,3200,FEMALE,
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.6,21.2,191,3800,MALE,
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.6,21.1,198,4400,MALE,8.55583
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.6,17.8,185,3700,FEMALE,
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.7,19,195,3450,FEMALE,9.18528
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.5,20.7,197,4500,MALE,8.67538
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.4,18.4,184,3325,FEMALE,8.47827
Adelie Penguin (Pygoscelis adeliae),Torgersen,46,21.5,194,4200,MALE,9.11616
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,18.3,174,3400,FEMALE,8.73762
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,18.7,180,3600,MALE,8.66271
Adelie Penguin (Pygoscelis adeliae),Biscoe,35.9,19.2,189,3800,FEMALE,9.22286
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,18.1,185,3950,MALE,8.43423
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.8,17.2,180,3800,MALE,9.63954
Adelie Penguin (Pygoscelis adeliae),Biscoe,35.3,18.9,187,3800,FEMALE,9.21292
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.6,18.6,183,3550,MALE,8.93997
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,17.9,187,3200,FEMALE,8.08138
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,172,3150,FEMALE,8.38404
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,18.9,180,3950,MALE,8.90027
Adelie Penguin (Pygoscelis adeliae),Dream,39.5,16.7,178,3250,FEMALE,9.69756
Adelie Penguin (Pygoscelis adeliae),Dream,37.2,18.1,178,3900,MALE,9.72764
Adelie Penguin (Pygoscelis adeliae),Dream,39.5,17.8,188,3300,FEMALE,9.66523
Adelie Penguin (Pygoscelis adeliae),Dream,40.9,18.9,184,3900,MALE,8.79665
Adelie Penguin (Pygoscelis adeliae),Dream,36.4,17,195,3325,FEMALE,9.17847
Adelie Penguin (Pygoscelis adeliae),Dream,39.2,21.1,196,4150,MALE,9.15308
Adelie Penguin (Pygoscelis adeliae),Dream,38.8,20,190,3950,MALE,9.18985
Adelie Penguin (Pygoscelis adeliae),Dream,42.2,18.5,180,3550,FEMALE,8.04787
Adelie Penguin (Pygoscelis adeliae),Dream,37.6,19.3,181,3300,FEMALE,9.41131
Adelie Penguin (Pygoscelis adeliae),Dream,39.8,19.1,184,4650,MALE,
Adelie Penguin (Pygoscelis adeliae),Dream,36.5,18,182,3150,FEMALE,9.68933
Adelie Penguin (Pygoscelis adeliae),Dream,40.8,18.4,195,3900,MALE,
Adelie Penguin (Pygoscelis adeliae),Dream,36,18.5,186,3100,FEMALE,9.50772
Adelie Penguin (Pygoscelis adeliae),Dream,44.1,19.7,196,4400,MALE,9.2372
Adelie Penguin (Pygoscelis adeliae),Dream,37,16.9,185,3000,FEMALE,9.36392
Adelie Penguin (Pygoscelis adeliae),Dream,39.6,18.8,190,4600,MALE,9.49106
Adelie Penguin (Pygoscelis adeliae),Dream,41.1,19,182,3425,MALE,
Adelie Penguin (Pygoscelis adeliae),Dream,37.5,18.9,179,2975,,
Adelie Penguin (Pygoscelis adeliae),Dream,36,17.9,190,3450,FEMALE,9.51784
Adelie Penguin (Pygoscelis adeliae),Dream,42.3,21.2,191,4150,MALE,8.87988
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,17.7,186,3500,FEMALE,8.46616
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.1,18.9,188,4300,MALE,8.51362
Adelie Penguin (Pygoscelis adeliae),Biscoe,35,17.9,190,3450,FEMALE,8.19539
Adelie Penguin (Pygoscelis adeliae),Biscoe,42,19.5,200,4050,MALE,8.48095
Adelie Penguin (Pygoscelis adeliae),Biscoe,34.5,18.1,187,2900,FEMALE,8.41837
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.4,18.6,191,3700,MALE,8.35396
Adelie Penguin (Pygoscelis adeliae),Biscoe,39,17.5,186,3550,FEMALE,8.57199
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.6,18.8,193,3800,MALE,8.56674
Adelie Penguin (Pygoscelis adeliae),Biscoe,36.5,16.6,181,2850,FEMALE,9.07878
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.6,19.1,194,3750,MALE,9.108
Adelie Penguin (Pygoscelis adeliae),Biscoe,35.7,16.9,185,3150,FEMALE,8.96472
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.3,21.1,195,4400,MALE,8.74802
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.6,17,185,3600,FEMALE,8.58063
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.1,18.2,192,4050,MALE,8.62264
Adelie Penguin (Pygoscelis adeliae),Biscoe,36.4,17.1,184,2850,FEMALE,8.62623
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.6,18,192,3950,MALE,8.85562
Adelie Penguin (Pygoscelis adeliae),Biscoe,35.5,16.2,195,3350,FEMALE,8.56192
Adelie Penguin (Pygoscelis adeliae),Biscoe,41.1,19.1,188,4100,MALE,8.71078
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.9,16.6,190,3050,FEMALE,8.47781
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.8,19.4,198,4450,MALE,8.86853
Adelie Penguin (Pygoscelis adeliae),Torgersen,33.5,19,190,3600,FEMALE,7.88863
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.7,18.4,190,3900,MALE,9.29808
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.6,17.2,196,3550,FEMALE,8.33524
Adelie Penguin (Pygoscelis adeliae),Torgersen,45.8,18.9,197,4150,MALE,8.18658
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.5,17.5,190,3700,FEMALE,8.70642
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.8,18.5,195,4250,MALE,8.2993
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.9,16.8,191,3700,FEMALE,8.47257
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.2,19.4,184,3900,MALE,8.3554
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,16.1,187,3550,FEMALE,7.82381
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.1,19.1,195,4000,MALE,9.05736
Adelie Penguin (Pygoscelis adeliae),Torgersen,34.6,17.2,189,3200,FEMALE,7.69778
Adelie Penguin (Pygoscelis adeliae),Torgersen,42.9,17.6,196,4700,MALE,8.63259
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.7,18.8,187,3800,FEMALE,7.88494
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.1,19.4,193,4200,MALE,8.90002
Adelie Penguin (Pygoscelis adeliae),Dream,37.3,17.8,191,3350,FEMALE,8.32718
Adelie Penguin (Pygoscelis adeliae),Dream,41.3,20.3,194,3550,MALE,9.14863
Adelie Penguin (Pygoscelis adeliae),Dream,36.3,19.5,190,3800,MALE,8.57087
Adelie Penguin (Pygoscelis adeliae),Dream,36.9,18.6,189,3500,FEMALE,8.59147
Adelie Penguin (Pygoscelis adeliae),Dream,38.3,19.2,189,3950,MALE,9.07826
Adelie Penguin (Pygoscelis adeliae),Dream,38.9,18.8,190,3600,FEMALE,8.36936
Adelie Penguin (Pygoscelis adeliae),Dream,35.7,18,202,3550,FEMALE,8.46531
Adelie Penguin (Pygoscelis adeliae),Dream,41.1,18.1,205,4300,MALE,8.77018
Adelie Penguin (Pygoscelis adeliae),Dream,34,17.1,185,3400,FEMALE,8.01485
Adelie Penguin (Pygoscelis adeliae),Dream,39.6,18.1,186,4450,MALE,8.49915
Adelie Penguin (Pygoscelis adeliae),Dream,36.2,17.3,187,3300,FEMALE,8.90723
Adelie Penguin (Pygoscelis adeliae),Dream,40.8,18.9,208,4300,MALE,8.48204
Adelie Penguin (Pygoscelis adeliae),Dream,38.1,18.6,190,3700,FEMALE,8.10277
Adelie Penguin (Pygoscelis adeliae),Dream,40.3,18.5,196,4350,MALE,8.39459
Adelie Penguin (Pygoscelis adeliae),Dream,33.1,16.1,178,2900,FEMALE,9.04218
Adelie Penguin (Pygoscelis adeliae),Dream,43.2,18.5,192,4100,MALE,8.97025
Adelie Penguin (Pygoscelis adeliae),Biscoe,35,17.9,192,3725,FEMALE,8.84451
Adelie Penguin (Pygoscelis adeliae),Biscoe,41,20,203,4725,MALE,9.01079
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.7,16,183,3075,FEMALE,9.2151
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.8,20,190,4250,MALE,9.51929
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,193,2925,FEMALE,9.02642
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,18.9,184,3550,MALE,8.85699
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.6,17.2,199,3750,FEMALE,8.77322
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.2,20,190,3900,MALE,9.59245
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,17,181,3175,FEMALE,9.79532
Adelie Penguin (Pygoscelis adeliae),Biscoe,43.2,19,197,4775,MALE,9.31735
Adelie Penguin (Pygoscelis adeliae),Biscoe,38.1,16.5,198,3825,FEMALE,8.43951
Adelie Penguin (Pygoscelis adeliae),Biscoe,45.6,20.3,191,4600,MALE,8.65466
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,17.7,193,3200,FEMALE,9.02657
Adelie Penguin (Pygoscelis adeliae),Biscoe,42.2,19.5,197,4275,MALE,8.80186
Adelie Penguin (Pygoscelis adeliae),Biscoe,39.6,20.7,191,3900,FEMALE,8.80967
Adelie Penguin (Pygoscelis adeliae),Biscoe,42.7,18.3,196,4075,MALE,8.91434
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.6,17,188,2900,FEMALE,9.18021
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.3,20.5,199,3775,MALE,9.49645
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.7,17,189,3350,FEMALE,8.96436
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.1,18.6,189,3325,MALE,9.32277
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,17.2,187,3150,FEMALE,9.04296
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.7,19.8,198,3500,MALE,9.11066
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.2,17,176,3450,FEMALE,9.30722
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.4,18.5,202,3875,MALE,9.59462
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.2,15.9,186,3050,FEMALE,8.81668
Adelie Penguin (Pygoscelis adeliae),Torgersen,40.6,19,199,4000,MALE,9.22537
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.8,17.6,191,3275,FEMALE,8.88098
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.5,18.3,195,4300,MALE,8.52566
Adelie Penguin (Pygoscelis adeliae),Torgersen,39,17.1,191,3050,FEMALE,9.19031
Adelie Penguin (Pygoscelis adeliae),Torgersen,44.1,18,210,4000,MALE,9.10702
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.5,17.9,190,3325,FEMALE,8.9846
Adelie Penguin (Pygoscelis adeliae),Torgersen,43.1,19.2,197,3500,MALE,8.86495
Adelie Penguin (Pygoscelis adeliae),Dream,36.8,18.5,193,3500,FEMALE,8.98705
Adelie Penguin (Pygoscelis adeliae),Dream,37.5,18.5,199,4475,MALE,8.56708
Adelie Penguin (Pygoscelis adeliae),Dream,38.1,17.6,187,3425,FEMALE,8.717
Adelie Penguin (Pygoscelis adeliae),Dream,41.1,17.5,190,3900,MALE,8.94365
Adelie Penguin (Pygoscelis adeliae),Dream,35.6,17.5,191,3175,FEMALE,8.75984
Adelie Penguin (Pygoscelis adeliae),Dream,40.2,20.1,200,3975,MALE,8.95998
Adelie Penguin (Pygoscelis adeliae),Dream,37,16.5,185,3400,FEMALE,8.61651
Adelie Penguin (Pygoscelis adeliae),Dream,39.7,17.9,193,4250,MALE,9.25769
Adelie Penguin (Pygoscelis adeliae),Dream,40.2,17.1,193,3400,FEMALE,9.2881
Adelie Penguin (Pygoscelis adeliae),Dream,40.6,17.2,187,3475,MALE,9.23408
Adelie Penguin (Pygoscelis adeliae),Dream,32.1,15.5,188,3050,FEMALE,8.79787
Adelie Penguin (Pygoscelis adeliae),Dream,40.7,17,190,3725,MALE,9.05674
Adelie Penguin (Pygoscelis adeliae),Dream,37.3,16.8,192,3000,FEMALE,9.06829
Adelie Penguin (Pygoscelis adeliae),Dream,39,18.7,185,3650,MALE,9.22033
Adelie Penguin (Pygoscelis adeliae),Dream,39.2,18.6,190,4250,MALE,9.11006
Adelie Penguin (Pygoscelis adeliae),Dream,36.6,18.4,184,3475,FEMALE,8.68744
Adelie Penguin (Pygoscelis adeliae),Dream,36,17.8,195,3450,FEMALE,8.94332
Adelie Penguin (Pygoscelis adeliae),Dream,37.8,18.1,193,3750,MALE,8.97533
Adelie Penguin (Pygoscelis adeliae),Dream,36,17.1,187,3700,FEMALE,8.93465
Adelie Penguin (Pygoscelis adeliae),Dream,41.5,18.5,201,4000,MALE,8.8964
Chinstrap penguin (Pygoscelis antarctica),Dream,46.5,17.9,192,3500,FEMALE,9.03935
Chinstrap penguin (Pygoscelis antarctica),Dream,50,19.5,196,3900,MALE,8.92069
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,19.2,193,3650,MALE,9.29078
Chinstrap penguin (Pygoscelis antarctica),Dream,45.4,18.7,188,3525,FEMALE,8.64701
Chinstrap penguin (Pygoscelis antarctica),Dream,52.7,19.8,197,3725,MALE,9.00642
Chinstrap penguin (Pygoscelis antarctica),Dream,45.2,17.8,198,3950,FEMALE,8.88942
Chinstrap penguin (Pygoscelis antarctica),Dream,46.1,18.2,178,3250,FEMALE,8.85664
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,18.2,197,3750,MALE,8.63701
Chinstrap penguin (Pygoscelis antarctica),Dream,46,18.9,195,4150,FEMALE,8.47173
Chinstrap penguin (Pygoscelis antarctica),Dream,51.3,19.9,198,3700,MALE,8.79581
Chinstrap penguin (Pygoscelis antarctica),Dream,46.6,17.8,193,3800,FEMALE,8.95063
Chinstrap penguin (Pygoscelis antarctica),Dream,51.7,20.3,194,3775,MALE,8.68747
Chinstrap penguin (Pygoscelis antarctica),Dream,47,17.3,185,3700,FEMALE,8.72037
Chinstrap penguin (Pygoscelis antarctica),Dream,52,18.1,201,4050,MALE,9.0233
Chinstrap penguin (Pygoscelis antarctica),Dream,45.9,17.1,190,3575,FEMALE,9.12277
Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,19.6,201,4050,MALE,9.8059
Chinstrap penguin (Pygoscelis antarctica),Dream,50.3,20,197,3300,MALE,10.02019
Chinstrap penguin (Pygoscelis antarctica),Dream,58,17.8,181,3700,FEMALE,9.14382
